Function Name,n,# of primes,Time
Sieve,2,1,0.0003647804260253906
Sieve,3,2,0.00012493133544921875
Sieve,4,2,9.799003601074219e-05
Sieve,5,3,0.00016379356384277344
Sieve,6,3,0.0001308917999267578
Sieve,7,4,9.512901306152344e-05
Sieve,8,4,0.00014472007751464844
Sieve,9,4,6.890296936035156e-05
Sieve,10,4,0.0001010894775390625
Sieve,11,5,8.20159912109375e-05
Sieve,12,5,6.794929504394531e-05
Sieve,13,6,7.295608520507812e-05
Sieve,14,6,7.915496826171875e-05
Sieve,15,6,8.678436279296875e-05
Sieve,16,6,6.818771362304688e-05
Sieve,17,7,8.082389831542969e-05
Sieve,18,7,8.082389831542969e-05
Sieve,19,8,7.987022399902344e-05
Sieve,20,8,0.00021600723266601562
Sieve,21,8,0.00013899803161621094
Sieve,22,8,0.0001399517059326172
Sieve,23,9,0.00014591217041015625
Sieve,24,9,0.00014925003051757812
Sieve,25,9,0.0001659393310546875
Sieve,26,9,0.000179290771484375
Sieve,27,9,0.0001571178436279297
Sieve,28,9,0.00011706352233886719
Sieve,29,10,0.0001289844512939453
Sieve,30,10,0.0001609325408935547
Sieve,31,11,0.0001709461212158203
Sieve,32,11,0.0001761913299560547
Sieve,33,11,0.00017714500427246094
Sieve,34,11,0.00032210350036621094
Sieve,35,11,0.00023317337036132812
Sieve,36,11,0.000209808349609375
Sieve,37,12,0.0002269744873046875
Sieve,38,12,0.0002288818359375
Sieve,39,12,0.00023603439331054688
Sieve,40,12,0.0002448558807373047
Sieve,41,13,0.0002567768096923828
Sieve,42,13,0.00021600723266601562
Sieve,43,14,0.0002613067626953125
Sieve,44,14,0.0002238750457763672
Sieve,45,14,0.00022602081298828125
Sieve,46,14,0.00024318695068359375
Sieve,47,15,0.0002269744873046875
Sieve,48,15,0.00023102760314941406
Sieve,49,15,0.0004410743713378906
Sieve,50,15,0.00043702125549316406
Sieve,51,15,0.0004229545593261719
Sieve,52,15,0.0006129741668701172
Sieve,53,16,0.00041604042053222656
Sieve,54,16,0.00041484832763671875
Sieve,55,16,0.0004239082336425781
Sieve,56,16,0.00043201446533203125
