Function Name,n,# of primes,Time
Sieve,0,0,1.6927719116210938e-05
Sieve,10000,1229,0.1772301197052002
Sieve,20000,2262,0.5701098442077637
Sieve,30000,3245,1.202315092086792
Sieve,40000,4203,2.0130460262298584
Sieve,50000,5133,2.903095006942749
Sieve,60000,6057,4.105721712112427
Sieve,70000,6935,5.226385116577148
Sieve,80000,7837,7.168993234634399
Sieve,90000,8713,11.124086856842041
Sieve,100000,9592,10.664572954177856
Sieve,110000,10453,12.545811891555786
Sieve,120000,11301,14.995322704315186
Sieve,130000,12159,17.025119066238403
Sieve,140000,13010,21.73774003982544
Sieve,150000,13848,23.72665238380432
Sieve,160000,14683,25.16804599761963
Sieve,170000,15497,28.45372486114502
Sieve,180000,16342,32.93399095535278
Sieve,190000,17170,35.472484827041626
Sieve,200000,17984,38.90143322944641
Sieve,210000,18807,43.825061082839966
Sieve,220000,19618,48.444941997528076
