Function Name,n,# of primes,Time
Sieve,0,0,2.5272369384765625e-05
Sieve,1,0,7.152557373046875e-06
Sieve,2,1,2.6226043701171875e-05
Sieve,3,2,7.152557373046875e-06
Sieve,4,2,7.152557373046875e-06
Sieve,5,3,6.198883056640625e-06
Sieve,6,3,7.152557373046875e-06
Sieve,7,4,6.198883056640625e-06
Sieve,8,4,7.152557373046875e-06
Sieve,9,4,7.152557373046875e-06
Sieve,10,4,1.2159347534179688e-05
Sieve,11,5,7.867813110351562e-06
Sieve,12,5,7.3909759521484375e-06
Sieve,13,6,8.106231689453125e-06
Sieve,14,6,7.152557373046875e-06
Sieve,15,6,8.344650268554688e-06
Sieve,16,6,7.867813110351562e-06
Sieve,17,7,6.9141387939453125e-06
Sieve,18,7,1.2159347534179688e-05
Sieve,19,8,9.298324584960938e-06
Sieve,20,8,7.867813110351562e-06
Sieve,21,8,7.867813110351562e-06
Sieve,22,8,7.867813110351562e-06
Sieve,23,9,8.821487426757812e-06
Sieve,24,9,8.344650268554688e-06
Sieve,25,9,1.0013580322265625e-05
Sieve,26,9,1.4066696166992188e-05
Sieve,27,9,1.0013580322265625e-05
Sieve,28,9,1.0013580322265625e-05
Sieve,29,10,9.059906005859375e-06
Sieve,30,10,1.0967254638671875e-05
Sieve,31,11,1.0013580322265625e-05
Sieve,32,11,1.0967254638671875e-05
Sieve,33,11,1.0967254638671875e-05
Sieve,34,11,1.4066696166992188e-05
Sieve,35,11,1.4066696166992188e-05
Sieve,36,11,1.0967254638671875e-05
Sieve,37,12,1.0967254638671875e-05
Sieve,38,12,1.1205673217773438e-05
Sieve,39,12,1.0013580322265625e-05
Sieve,40,12,1.0967254638671875e-05
Sieve,41,13,1.0967254638671875e-05
Sieve,42,13,1.52587890625e-05
Sieve,43,14,1.2159347534179688e-05
Sieve,44,14,1.0967254638671875e-05
Sieve,45,14,1.621246337890625e-05
Sieve,46,14,1.2159347534179688e-05
Sieve,47,15,1.0967254638671875e-05
Sieve,48,15,1.2159347534179688e-05
Sieve,49,16,1.1920928955078125e-05
Sieve,50,16,1.52587890625e-05
Sieve,51,16,1.2874603271484375e-05
Sieve,52,16,1.3113021850585938e-05
Sieve,53,17,1.2874603271484375e-05
Sieve,54,17,1.1920928955078125e-05
Sieve,55,17,1.71661376953125e-05
Sieve,56,17,1.3113021850585938e-05
Sieve,57,17,1.1920928955078125e-05
Sieve,58,17,1.6689300537109375e-05
Sieve,59,18,1.4066696166992188e-05
Sieve,60,18,1.3113021850585938e-05
Sieve,61,19,1.3828277587890625e-05
Sieve,62,19,1.6927719116210938e-05
Sieve,63,19,1.430511474609375e-05
Sieve,64,19,1.4066696166992188e-05
Sieve,65,19,1.3828277587890625e-05
Sieve,66,19,1.7881393432617188e-05
Sieve,67,20,1.4781951904296875e-05
Sieve,68,20,1.7881393432617188e-05
Sieve,69,20,1.4781951904296875e-05
Sieve,70,20,1.4066696166992188e-05
Sieve,71,21,1.52587890625e-05
Sieve,72,21,1.5020370483398438e-05
Sieve,73,22,1.7881393432617188e-05
Sieve,74,22,1.9073486328125e-05
Sieve,75,22,1.621246337890625e-05
Sieve,76,22,1.5020370483398438e-05
Sieve,77,23,1.5974044799804688e-05
Sieve,78,23,1.4781951904296875e-05
Sieve,79,24,1.8835067749023438e-05
Sieve,80,24,1.5735626220703125e-05
Sieve,81,24,1.5735626220703125e-05
Sieve,82,24,2.002716064453125e-05
Sieve,83,25,1.6689300537109375e-05
Sieve,84,25,2.09808349609375e-05
Sieve,85,25,1.71661376953125e-05
Sieve,86,25,1.71661376953125e-05
Sieve,87,25,2.09808349609375e-05
Sieve,88,25,1.6927719116210938e-05
Sieve,89,26,1.7881393432617188e-05
Sieve,90,26,2.288818359375e-05
Sieve,91,27,1.811981201171875e-05
Sieve,92,27,1.6927719116210938e-05
Sieve,93,27,1.7881393432617188e-05
Sieve,94,27,1.811981201171875e-05
Sieve,95,27,1.7881393432617188e-05
Sieve,96,27,2.2172927856445312e-05
Sieve,97,28,1.7881393432617188e-05
Sieve,98,28,2.193450927734375e-05
Sieve,99,28,1.9311904907226562e-05
Sieve,100,28,1.7881393432617188e-05
Sieve,200,53,3.2901763916015625e-05
Sieve,300,76,4.9114227294921875e-05
Sieve,400,98,7.104873657226562e-05
Sieve,500,122,9.226799011230469e-05
Sieve,600,144,0.00010395050048828125
Sieve,700,166,0.00012183189392089844
Sieve,800,190,0.00013375282287597656
Sieve,900,210,0.0001609325408935547
Sieve,1000,233,0.00017595291137695312
Sieve,2000,449,0.0003802776336669922
Sieve,3000,656,0.0005819797515869141
Sieve,4000,864,0.0007638931274414062
Sieve,5000,1071,0.0009469985961914062
Sieve,6000,1275,0.001538991928100586
Sieve,7000,1476,0.001621246337890625
Sieve,8000,1677,0.0025920867919921875
Sieve,9000,1881,0.0022411346435546875
